% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.073734618e+02 +2.073734618e+02 +2.868534618e+02 +2.868534618e+02 +3.7783e+00 -2.7473e+00 -5.3607e-01 +4.9284e+00 -4.8154e+00 +4.2538e+00 +1.0432e+00 +4.8828e+00 +2.1681e+00 -4.5485e+00 -4.6416e+00 -3.8159e+00 +1.3060e-01 +1.3526e+00 -2.3637e+00 +4.0635e+00 +6.0403e-01 +2.6480e+00 +1.2943e+00 +3.2315e+00
34 +1.069659327e+02 +1.069659327e+02 +1.864459327e+02 +1.864459327e+02 -1.4288e+00 -1.1714e+00 -3.5048e+00 -4.1033e+00 -3.6282e-01 -4.1091e+00 -2.3281e+00 -6.7521e-01 +4.6244e-01 -4.7961e+00 -3.9612e+00 -1.6741e-01 +2.7650e+00 -1.9210e+00 +3.9660e+00 +3.1742e+00 -2.5387e-01 -2.4891e+00 -9.7695e-02 +2.6767e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.933919475e+02 +4.933919475e+02 +8.878719475e+02 +8.878719475e+02 -2.9872e+00 +4.2158e+00 +3.0265e+00 -1.9437e+00 -1.0863e+00 +4.6951e+00 -4.0941e+00 +6.3918e-01 +9.6706e-01 +4.5876e+00 +1.5252e+00 -4.6788e+00 -3.6536e+00 +2.4538e+00 +5.5190e-01 -2.9266e+00 +1.5403e+00 +4.0114e+00 +7.0613e-01 +2.3041e+00
2 +2.541445615e+02 +2.541445615e+02 +6.486245615e+02 +6.486245615e+02 -3.6241e+00 +4.5124e+00 +2.0264e+00 +1.1956e+00 +2.9076e+00 +3.9328e+00 -2.8088e+00 -4.4917e+00 -9.7380e-01 -4.0329e+00 +4.2657e+00 +3.8457e+00 -9.8928e-01 +3.4849e-03 -4.9436e+00 +4.5188e+00 -4.8939e+00 -2.8005e+00 -2.6726e+00 +2.8105e+00
9 +2.479821407e+02 +2.479821407e+02 +6.424621407e+02 +6.424621407e+02 +1.1492e+00 +2.3762e+00 +4.4268e+00 +1.7164e+00 -2.4167e+00 +2.1890e+00 +2.2526e+00 -4.9847e+00 -4.6608e+00 +5.9667e-01 -5.4311e-01 +1.8797e+00 -1.2611e+00 +8.4814e-01 -1.2686e+00 +2.9332e+00 -3.3045e+00 -2.1127e+00 -5.0816e-01 +2.4591e+00
48 +1.121984063e+02 +1.121984063e+02 +5.066784063e+02 +5.066784063e+02 -3.2031e+00 -1.0073e+00 -2.0582e+00 +4.9502e-01 +4.1985e+00 -2.5707e+00 +4.6884e+00 +1.5283e+00 -1.0219e+00 -2.7040e+00 -2.4572e+00 +2.8586e+00 -1.5873e+00 +3.4519e+00 -3.7920e-01 -2.0471e+00 -3.4968e+00 -3.8048e+00 -1.0732e-01 +7.3458e-01
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.537751708e+02 +2.537751708e+02 +6.665170765e+00 +6.665170765e+00 +9.9683e-01 +4.4055e+00 -4.9374e-01 -5.9119e-01 -2.2505e+00 +1.9699e+00 -3.4750e-01 +1.2624e+00 +3.4689e+00 +1.6622e+00 -6.2395e-01 +1.1848e+00 -4.7122e+00 -4.9726e+00 +3.5730e-01 +3.1207e+00 +1.9004e+00 -4.8777e+00 +1.3118e+00 -2.0937e+00
3 +2.045268055e+02 +2.045268055e+02 -4.258319448e+01 -4.258319448e+01 -2.7021e+00 -4.7770e+00 -1.3834e+00 -4.2855e+00 -2.2266e+00 -2.1547e+00 +3.1036e+00 +1.2754e+00 +4.0893e+00 -5.0977e-01 -5.4788e-01 +4.8506e+00 -2.8204e-01 -3.7856e+00 +2.6859e+00 +4.8734e+00 +3.8268e+00 -4.5430e+00 -7.8022e-01 -5.2483e-01
