% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.930513952e+02 +3.930513952e+02 +3.407013952e+02 +3.407013952e+02 +1.2535e-01 -2.5517e+00 -3.1836e+00 -2.5056e-01 -3.7205e+00 -2.0284e+00 +3.8908e+00 -2.6771e+00 -2.8312e+00 +6.1915e-01 +3.7768e+00 -2.2695e+00 -2.2105e+00 +1.9624e+00 -2.3586e+00 +9.6500e-01 +1.2036e+00 +4.5377e-01 -4.8908e+00 +2.5077e+00
2 +1.422841132e+02 +1.422841132e+02 +8.993411322e+01 +8.993411322e+01 -2.3458e+00 +4.4803e+00 +4.9147e+00 -1.9504e+00 +1.5210e+00 +4.8268e-01 +2.0266e+00 +3.1894e+00 +4.7927e+00 +3.3929e+00 +7.9297e-03 -2.1376e+00 +8.6235e-01 -1.7021e+00 -6.4511e-01 -2.8796e+00 -1.1377e+00 -2.7387e+00 +3.5341e+00 +2.0360e+00
15 +7.342818218e+01 +7.342818218e+01 +2.107818218e+01 +2.107818218e+01 -1.5201e+00 -2.0255e+00 +6.8273e-01 -3.5203e+00 +8.3118e-01 +4.9638e+00 -3.5393e+00 +4.3612e+00 +2.4753e+00 -2.7716e+00 +1.0167e+00 +7.3942e-01 -2.3475e+00 +2.9998e+00 +4.7036e+00 -2.4293e+00 +3.2109e+00 -3.3627e+00 +4.9444e+00 +4.2522e+00
36 +5.371751567e+01 +5.371751567e+01 +1.367515673e+00 +1.367515673e+00 +2.1788e+00 -2.2754e-01 -2.5395e+00 -4.8781e+00 -1.9125e+00 +6.1110e-01 -4.3873e-01 -2.6713e+00 -3.0820e+00 -4.8549e+00 +6.8214e-01 +5.5279e-01 +3.0951e+00 -3.3609e+00 -2.0467e+00 +4.1809e-01 -2.7170e+00 +4.7895e+00 +2.4258e+00 -4.7128e-01
50 +3.793392168e+01 +3.793392168e+01 -1.441607832e+01 -1.441607832e+01 -3.4692e+00 -1.6620e+00 +6.2774e-01 -2.7735e+00 +2.7093e+00 +1.3841e-01 -4.1770e+00 -2.7911e+00 +3.0268e+00 -2.7681e+00 -3.7818e+00 -4.3651e-01 +3.2706e+00 -4.3554e+00 -2.2686e+00 -6.0941e-01 -4.3136e+00 +4.1342e+00 +2.2473e+00 -5.5510e-01
% function evaluation | noise-free fitness - Fopt (-1.795400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.049126414e+02 +4.049126414e+02 +2.253726414e+02 +2.253726414e+02 -2.7742e+00 -1.0060e-01 +9.5009e-01 -2.5671e+00 +4.5819e+00 -3.3693e+00 -4.1786e+00 +4.3583e+00 +2.1800e+00 +4.5468e+00 +1.2742e+00 +4.0941e+00 -4.0272e+00 +2.9217e+00 -2.0108e+00 +1.3647e+00 +3.0798e+00 +2.2726e+00 +7.1182e-01 -4.4827e+00
2 +3.244912701e+02 +3.244912701e+02 +1.449512701e+02 +1.449512701e+02 -4.8792e+00 -4.7715e+00 -5.8027e-01 +3.3065e-01 +3.5189e+00 +2.5051e+00 +3.8630e-01 -2.1169e+00 -2.2983e+00 +4.4025e+00 +4.0950e+00 -4.3402e+00 +4.9836e-01 +2.9743e+00 +2.0043e+00 -3.4286e+00 -1.6319e+00 +1.2543e+00 -2.6616e+00 -2.1117e+00
4 +1.075739522e+02 +1.075739522e+02 -7.196604780e+01 -7.196604780e+01 -1.7247e+00 -1.7180e-01 -4.9398e+00 +2.1149e+00 +2.1691e+00 +4.5716e+00 -2.1417e+00 -8.9504e-01 +3.7674e+00 +1.7328e+00 +1.0484e+00 -3.3654e+00 -2.5990e+00 +5.6138e-01 +3.0183e+00 +2.3229e+00 +3.7428e+00 -2.4181e+00 -4.6210e+00 +1.6078e+00
12 +6.647604707e+01 +6.647604707e+01 -1.130639529e+02 -1.130639529e+02 +3.4119e+00 +1.6056e+00 -2.4887e+00 +7.3499e-01 +4.5532e+00 +1.5034e+00 +2.8855e+00 +1.2863e+00 +4.0926e+00 -1.7360e+00 -2.0788e+00 +2.6793e+00 -3.5751e+00 -1.2548e+00 +4.5743e+00 -2.5022e+00 -2.7223e+00 -2.5236e+00 +3.9270e+00 +1.5711e+00
